service_id,exception_type,date
1064,1,20251002
1064,1,20251010
1066,1,20250924
1066,1,20250925
1066,1,20251006
1066,1,20251007
1068,1,20251013
1069,2,20250920
1069,2,20250921
1069,2,20250922
1069,2,20250923
1069,2,20250924
1069,2,20250925
107,1,20250914
107,1,20250915
107,1,20250916
107,1,20250920
107,1,20250922
107,1,20250924
107,1,20250925
107,1,20251003
107,1,20251004
1070,1,20251003
1072,1,20250914
1072,1,20250921
1072,2,20250927
1073,1,20251006
1075,1,20251003
1076,1,20250920
1076,1,20250921
1076,1,20251003
1078,1,20250920
1078,1,20251001
1078,1,20251010
1078,2,20250929
1078,2,20251005
1079,2,20250927
1079,2,20250928
1079,2,20251003
108,1,20250925
1081,2,20251003
1082,1,20251001
1082,1,20251003
1083,1,20250919
1083,1,20251010
1083,2,20250922
1083,2,20250923
1083,2,20250924
1083,2,20250925
1089,1,20250919
1089,2,20250922
1089,2,20250923
1089,2,20250924
1089,2,20250925
109,1,20250914
109,2,20250922
109,2,20250923
109,2,20250924
109,2,20250925
1090,1,20250922
1092,1,20250926
1095,1,20250928
1095,2,20251004
1096,1,20250915
1096,1,20250920
1096,2,20250927
1096,2,20250929
1096,2,20250930
1096,2,20251001
1096,2,20251002
1096,2,20251003
1097,1,20250925
1097,1,20250926
1097,1,20251006
1097,1,20251007
1097,1,20251008
1097,1,20251012
1098,1,20250919
1098,1,20251010
1098,1,20251011
1098,1,20251012
1099,2,20250924
1101,2,20250925
1101,2,20250927
1101,2,20251007
1102,1,20250927
1102,1,20250928
1102,1,20251011
1102,1,20251012
1104,1,20250914
1105,2,20250922
1105,2,20250923
1105,2,20250924
1105,2,20250925
1107,2,20251004
1108,1,20251010
1109,1,20250915
1109,1,20250916
1109,1,20250917
1109,1,20250926
1109,1,20250928
1109,1,20251008
1109,1,20251011
1109,2,20250930
111,1,20250926
1110,1,20251013
1110,1,20251014
1112,1,20250915
1112,1,20250916
1114,1,20250926
1114,1,20251011
1114,1,20251012
1116,2,20250920
1116,2,20251003
1117,1,20250915
1118,1,20251001
1118,1,20251002
1118,2,20251007
1119,1,20250926
1119,1,20250927
112,1,20250927
112,1,20251011
112,2,20250922
112,2,20250923
112,2,20250924
112,2,20250925
112,2,20250926
1120,2,20251004
1123,1,20251003
1123,1,20251012
113,1,20251006
114,2,20251002
116,2,20251003
116,2,20251012
118,1,20250927
118,1,20250929
118,1,20251011
118,1,20251013
118,2,20250921
118,2,20250925
118,2,20251007
119,1,20251004
119,1,20251005
119,1,20251006
12,2,20250927
121,1,20250922
122,1,20250921
122,1,20251012
122,1,20251013
122,1,20251014
124,1,20250914
125,2,20250922
128,1,20250925
128,1,20250929
128,1,20250930
128,1,20251005
131,1,20250923
133,1,20250927
133,1,20251006
133,2,20251005
134,1,20251012
134,2,20251004
135,1,20251010
135,2,20250929
135,2,20250930
136,1,20251004
136,1,20251005
136,1,20251011
136,1,20251012
136,2,20250926
136,2,20250929
136,2,20250930
137,1,20250918
137,1,20251002
137,2,20250922
137,2,20250930
144,1,20250914
144,1,20250918
144,1,20250920
144,1,20250929
145,2,20250923
145,2,20250924
146,1,20251008
146,1,20251014
146,2,20251002
147,1,20250914
147,1,20251002
147,1,20251004
147,1,20251005
149,2,20250928
15,1,20251003
151,2,20250921
152,1,20250918
153,1,20250920
153,1,20250921
154,1,20250927
154,1,20251011
154,2,20250921
154,2,20250929
154,2,20250930
154,2,20251001
154,2,20251002
154,2,20251003
154,2,20251005
156,1,20250925
156,1,20251007
158,1,20251013
158,2,20250930
16,1,20251004
16,1,20251011
160,1,20250914
162,2,20250927
163,1,20251003
164,1,20250920
164,1,20250921
164,2,20250922
164,2,20250923
164,2,20250924
164,2,20250925
165,1,20251009
166,2,20251003
166,2,20251005
168,1,20251003
169,1,20251007
169,1,20251008
169,1,20251009
169,2,20251003
17,2,20250925
170,1,20250924
170,1,20250926
170,1,20250929
170,1,20250930
170,1,20251011
170,1,20251012
171,2,20250926
171,2,20250927
171,2,20250928
171,2,20250929
171,2,20250930
173,1,20250926
173,2,20251011
175,1,20250928
175,1,20251005
175,1,20251012
176,1,20250926
176,1,20250927
176,1,20251012
177,1,20250918
177,1,20250919
177,1,20250929
177,1,20250930
177,1,20251001
177,1,20251002
178,2,20250928
182,1,20250916
183,1,20250921
184,1,20250926
184,1,20251005
184,2,20251007
184,2,20251008
184,2,20251009
185,1,20250927
185,2,20251003
187,1,20251003
187,1,20251011
188,2,20250920
188,2,20250921
189,1,20251003
189,2,20250920
189,2,20250921
19,1,20250917
19,1,20250924
19,1,20251003
19,1,20251004
19,1,20251010
19,1,20251011
19,2,20250921
19,2,20250928
19,2,20250929
19,2,20250930
19,2,20251002
190,2,20251003
190,2,20251004
190,2,20251005
192,1,20250920
192,1,20250923
192,1,20251013
192,1,20251014
193,1,20250917
193,1,20250918
193,1,20250919
193,1,20250929
193,1,20250930
193,1,20251010
195,1,20250927
196,1,20250914
196,1,20251003
197,1,20251001
198,1,20251010
199,2,20251004
199,2,20251008
2,2,20250926
2,2,20250929
2,2,20250930
20,2,20250922
20,2,20251003
201,1,20250914
201,1,20251013
201,1,20251014
204,2,20251002
204,2,20251003
205,2,20251003
206,2,20250925
206,2,20251003
206,2,20251005
207,1,20250924
209,1,20251010
210,2,20250920
210,2,20250921
210,2,20250922
210,2,20250923
212,1,20250920
212,1,20251004
212,2,20250928
212,2,20251012
213,1,20251010
216,1,20251014
217,1,20250925
217,2,20250929
218,1,20250914
218,1,20250915
218,1,20250916
218,1,20250926
218,1,20250927
218,1,20251011
218,1,20251012
218,1,20251013
218,1,20251014
219,1,20250927
219,1,20251011
219,2,20250922
219,2,20250923
219,2,20250924
219,2,20250925
219,2,20251003
220,1,20250927
221,1,20250924
222,2,20251003
222,2,20251005
224,1,20250922
224,1,20251010
226,1,20250927
226,1,20251011
226,2,20250929
226,2,20250930
226,2,20251001
226,2,20251002
226,2,20251003
227,2,20250926
229,1,20250927
229,1,20251011
229,2,20250921
229,2,20251005
23,1,20250923
23,1,20251009
23,1,20251011
23,1,20251014
23,2,20251003
23,2,20251005
23,2,20251008
231,1,20250927
231,1,20251011
231,2,20250921
233,1,20251014
234,1,20250919
234,1,20251003
234,1,20251009
237,1,20250916
238,1,20250926
238,1,20250927
238,1,20250928
238,1,20251010
238,1,20251011
238,1,20251012
241,2,20251004
241,2,20251005
243,1,20251002
243,2,20251003
244,1,20250926
246,1,20251010
25,2,20251003
250,1,20250923
250,1,20251014
250,2,20250925
250,2,20250927
250,2,20251001
250,2,20251012
251,2,20251002
251,2,20251006
251,2,20251007
251,2,20251008
254,2,20250918
254,2,20250919
254,2,20251001
255,1,20251002
255,2,20251003
257,1,20250919
257,1,20251002
258,1,20250914
258,1,20250920
259,2,20250929
259,2,20251001
259,2,20251003
26,1,20251002
26,2,20251003
260,2,20250919
262,1,20250914
263,2,20250925
263,2,20250927
263,2,20251007
264,2,20250928
265,1,20250926
266,1,20250927
266,1,20251011
266,1,20251012
266,1,20251013
266,1,20251014
266,2,20250921
267,1,20250920
269,2,20251003
27,1,20250914
27,1,20251011
27,2,20251005
270,1,20250924
272,1,20250918
273,1,20250925
273,1,20250926
273,1,20250929
273,1,20250930
273,1,20251005
278,2,20250921
279,2,20251003
282,1,20250927
282,1,20251011
283,2,20251003
284,1,20250920
284,1,20250929
284,1,20250930
284,1,20251001
284,1,20251002
284,1,20251003
288,1,20250919
288,2,20250929
288,2,20250930
288,2,20251001
288,2,20251002
289,1,20250916
289,1,20250917
289,1,20250918
289,1,20250929
289,1,20251009
289,1,20251012
292,1,20250928
292,2,20250920
293,1,20250922
293,1,20250923
294,2,20251003
294,2,20251011
294,2,20251012
296,1,20250923
296,1,20250924
296,1,20250925
298,2,20251003
298,2,20251013
300,1,20250926
300,1,20250927
300,2,20251005
302,2,20250922
302,2,20250923
302,2,20251003
302,2,20251004
304,2,20251003
305,1,20251005
307,1,20250927
307,1,20251014
308,1,20250915
308,1,20250916
308,1,20250927
309,2,20251003
310,2,20250927
310,2,20251003
311,2,20251003
311,2,20251004
311,2,20251006
311,2,20251007
313,1,20251004
314,1,20251005
314,1,20251011
315,1,20251013
315,1,20251014
317,1,20250919
317,1,20250920
317,1,20250930
317,2,20250917
317,2,20250928
32,1,20250917
32,1,20251001
32,2,20250922
32,2,20250923
32,2,20250928
32,2,20251009
32,2,20251010
320,1,20250914
320,1,20250918
320,1,20250922
320,1,20250926
320,1,20251002
322,1,20251013
322,1,20251014
323,1,20250927
323,1,20251011
323,1,20251012
323,1,20251013
323,1,20251014
323,2,20250921
323,2,20250922
323,2,20250923
325,1,20251010
326,1,20250920
326,1,20250921
326,2,20251003
326,2,20251006
328,1,20250918
328,1,20250925
328,2,20250922
328,2,20250923
328,2,20250924
328,2,20251003
328,2,20251004
33,1,20250926
330,1,20250928
330,1,20251013
330,1,20251014
331,1,20251011
331,2,20251005
332,1,20250919
332,1,20250930
333,1,20250920
333,1,20251011
334,1,20250914
334,1,20250918
334,1,20250919
334,1,20250920
334,1,20250921
335,1,20251011
336,1,20250916
336,1,20251014
337,1,20250917
337,1,20250918
337,1,20250919
337,1,20250930
337,1,20251011
337,1,20251012
337,1,20251013
337,1,20251014
338,1,20250927
338,1,20251011
338,2,20251003
338,2,20251005
34,1,20250917
342,1,20251011
342,1,20251012
343,1,20250928
343,1,20251012
343,2,20251003
345,1,20250915
345,1,20251013
345,1,20251014
346,2,20251009
346,2,20251010
347,1,20250923
348,1,20251002
349,1,20250915
349,1,20250916
349,1,20250917
349,1,20250918
349,1,20251013
349,1,20251014
35,2,20250925
35,2,20251003
35,2,20251007
350,2,20251005
352,1,20250919
352,1,20251003
352,2,20250922
352,2,20250923
352,2,20250924
352,2,20250925
352,2,20250927
353,1,20250914
353,1,20251004
353,1,20251005
354,2,20250929
356,2,20250926
356,2,20250927
356,2,20250928
357,1,20251006
357,1,20251014
358,1,20250929
358,1,20250930
358,1,20251001
358,1,20251002
358,1,20251011
358,1,20251012
36,1,20251004
361,1,20251011
366,1,20250924
366,1,20250925
366,1,20250926
366,1,20251006
366,1,20251007
366,1,20251012
368,1,20250926
368,1,20251011
368,2,20251005
37,2,20250926
37,2,20250927
37,2,20250928
37,2,20250929
37,2,20250930
370,2,20250922
370,2,20251003
370,2,20251004
370,2,20251007
371,1,20250914
371,1,20250918
371,1,20250926
371,1,20250927
371,1,20251011
371,1,20251012
371,1,20251013
371,1,20251014
373,1,20250928
373,1,20251012
38,1,20250914
380,1,20251005
380,1,20251013
380,2,20250927
380,2,20251003
381,2,20250920
381,2,20251003
382,1,20250924
382,1,20251011
383,2,20250927
383,2,20250928
384,2,20251003
386,1,20250915
386,1,20250916
386,1,20250926
391,1,20251013
391,1,20251014
393,1,20251003
394,1,20251006
395,1,20250919
395,1,20251010
395,2,20250927
395,2,20250928
396,2,20251003
396,2,20251006
396,2,20251007
398,1,20250926
398,1,20251013
398,1,20251014
399,1,20250920
399,1,20251004
399,2,20250928
399,2,20251003
399,2,20251012
4,1,20250926
400,2,20250916
400,2,20251003
400,2,20251004
401,1,20250917
401,1,20250918
401,1,20250919
401,2,20250920
401,2,20250921
402,1,20250917
402,1,20250928
402,1,20250929
402,1,20251012
402,1,20251013
402,1,20251014
402,2,20250923
403,1,20250920
403,1,20251013
403,1,20251014
405,1,20250918
405,1,20250925
405,2,20250922
406,1,20251013
406,1,20251014
407,1,20250920
407,1,20251011
408,1,20250919
411,2,20250929
411,2,20250930
411,2,20251001
411,2,20251007
412,1,20250914
414,1,20251011
414,1,20251012
414,2,20251010
415,1,20250923
415,1,20250930
415,2,20250915
415,2,20250917
415,2,20251002
415,2,20251003
415,2,20251004
415,2,20251006
417,2,20250928
418,2,20251003
419,1,20251012
420,1,20250926
420,1,20250929
420,1,20250930
421,1,20250927
421,1,20250928
421,1,20251011
421,2,20250929
421,2,20250930
421,2,20251001
421,2,20251002
421,2,20251003
422,1,20250928
422,1,20251013
422,1,20251014
423,1,20251003
425,1,20251003
426,2,20250925
426,2,20250926
426,2,20250929
426,2,20250930
428,1,20250919
428,1,20251010
429,1,20250928
429,1,20251012
429,2,20250922
429,2,20250923
429,2,20251003
429,2,20251004
432,2,20250921
432,2,20251003
434,2,20250924
434,2,20251010
435,1,20250919
436,1,20250915
437,2,20251004
438,1,20250924
439,2,20250930
439,2,20251001
439,2,20251002
439,2,20251003
44,1,20250914
44,1,20250921
44,1,20251011
44,1,20251013
44,1,20251014
440,1,20250927
440,1,20250928
440,2,20251003
441,1,20250918
441,1,20250927
441,1,20250928
441,1,20250929
441,1,20250930
441,1,20251001
445,1,20250920
445,1,20251011
447,1,20250926
447,2,20251009
448,2,20250929
448,2,20250930
448,2,20251001
448,2,20251002
449,1,20250921
449,1,20250927
449,1,20250928
449,2,20251003
45,1,20250918
45,1,20250922
45,1,20250928
45,1,20251011
450,1,20251003
450,2,20250928
451,1,20250921
451,1,20251004
451,1,20251005
451,2,20251003
452,1,20250924
452,2,20251005
453,1,20251002
453,2,20250928
453,2,20251003
455,1,20250919
455,1,20251010
455,2,20250929
455,2,20250930
457,1,20250930
460,1,20251003
460,2,20251002
462,1,20250919
462,1,20251010
462,2,20250929
462,2,20250930
462,2,20251001
462,2,20251002
463,1,20250924
463,1,20250925
463,1,20250926
463,1,20251006
463,1,20251007
463,1,20251012
465,1,20251009
466,1,20250920
467,1,20250926
467,1,20250927
467,1,20250928
468,2,20251003
468,2,20251007
468,2,20251008
468,2,20251009
471,1,20251013
471,1,20251014
473,1,20251010
475,1,20251003
475,2,20251004
476,1,20251009
476,2,20251003
476,2,20251006
480,1,20251014
481,1,20251010
483,1,20251005
485,2,20251002
488,1,20251004
488,1,20251005
490,2,20250927
490,2,20250928
490,2,20251003
491,1,20250928
492,1,20251004
492,1,20251011
492,2,20250926
492,2,20250928
495,1,20251010
496,1,20250914
496,1,20250921
496,1,20251011
496,1,20251013
496,1,20251014
497,2,20251003
497,2,20251004
499,1,20251012
499,2,20251004
5,2,20251003
5,2,20251004
50,1,20250915
50,1,20250916
50,2,20250930
50,2,20251001
50,2,20251002
50,2,20251003
500,1,20250929
500,1,20250930
500,1,20251012
500,1,20251013
500,1,20251014
501,2,20250920
501,2,20250921
502,1,20251011
504,2,20250921
504,2,20250922
504,2,20250923
504,2,20251001
504,2,20251003
506,1,20251002
508,1,20251009
508,1,20251010
508,2,20250929
508,2,20250930
508,2,20251001
509,1,20250926
509,1,20251010
511,1,20251002
511,2,20251003
512,1,20251011
513,1,20250914
513,1,20250927
514,1,20250915
514,1,20250920
514,1,20250922
514,1,20250927
514,1,20251010
514,1,20251011
514,2,20250930
515,1,20251010
517,1,20250920
517,1,20250921
519,1,20250924
519,1,20250925
52,1,20250920
52,1,20251003
52,1,20251010
52,1,20251011
52,1,20251012
520,1,20250915
520,1,20250916
521,1,20250920
521,1,20250921
521,1,20251011
521,1,20251012
521,2,20250923
521,2,20250924
521,2,20250925
521,2,20251003
521,2,20251006
522,1,20250925
522,1,20251013
523,1,20251013
525,1,20250923
525,1,20250924
525,1,20250930
525,1,20251001
525,2,20250918
525,2,20250927
525,2,20250928
525,2,20251003
525,2,20251006
526,1,20251011
526,1,20251012
527,1,20251011
527,1,20251012
527,1,20251013
527,1,20251014
528,1,20251010
53,1,20250915
530,1,20250915
530,1,20250919
530,1,20250926
530,1,20251004
530,1,20251005
531,1,20251003
531,1,20251011
531,1,20251012
534,2,20250922
534,2,20251010
536,1,20250919
536,1,20250920
536,1,20251010
536,1,20251011
536,2,20250928
536,2,20250930
536,2,20251001
536,2,20251002
536,2,20251005
537,1,20250917
537,1,20250924
537,1,20251010
537,2,20250929
537,2,20250930
537,2,20251002
538,1,20251006
538,1,20251013
538,1,20251014
539,2,20251010
540,1,20250927
540,1,20251006
542,2,20251003
544,1,20250920
544,2,20250915
544,2,20250928
545,1,20250927
545,1,20251004
545,2,20250922
545,2,20250923
545,2,20250924
545,2,20250925
545,2,20251012
546,1,20250914
546,1,20250920
546,1,20250921
547,1,20251012
548,2,20251003
549,1,20250918
549,1,20250926
549,1,20251009
549,1,20251010
549,1,20251011
549,1,20251012
549,2,20250922
549,2,20250930
549,2,20251008
550,2,20251005
551,1,20251003
551,2,20250928
553,2,20250927
554,1,20251010
554,1,20251012
557,1,20250924
557,1,20250925
557,1,20250926
557,1,20251006
557,1,20251007
558,1,20251011
558,1,20251012
558,1,20251013
558,1,20251014
559,1,20250927
559,1,20251011
559,1,20251012
559,1,20251013
559,1,20251014
56,1,20250919
561,1,20250914
561,1,20250915
562,1,20251009
562,1,20251010
563,1,20251011
563,1,20251012
567,2,20250920
568,1,20250924
568,1,20251004
568,1,20251010
568,1,20251011
568,2,20250929
568,2,20251006
57,1,20251013
57,1,20251014
570,1,20250925
572,1,20250926
572,1,20251002
573,1,20250921
573,1,20251010
573,1,20251013
573,1,20251014
573,2,20251001
574,2,20251002
574,2,20251003
574,2,20251005
577,1,20250920
577,1,20250921
577,1,20251011
577,1,20251012
577,1,20251013
577,2,20250923
577,2,20250924
577,2,20250925
577,2,20250926
579,1,20251003
579,1,20251004
579,1,20251006
580,1,20250915
580,1,20251002
582,1,20251004
583,2,20251004
584,1,20251002
584,2,20251003
588,1,20250920
588,1,20250921
589,1,20251007
589,1,20251009
589,1,20251014
589,2,20250924
59,2,20250922
59,2,20250923
59,2,20250924
59,2,20250925
59,2,20250926
590,1,20250915
591,1,20250926
591,1,20251010
591,2,20250918
591,2,20250929
591,2,20250930
591,2,20251001
594,1,20250928
595,1,20250927
599,1,20251001
599,1,20251006
599,1,20251007
6,1,20250924
6,1,20251003
6,1,20251009
6,1,20251013
600,2,20250926
600,2,20250927
600,2,20250928
600,2,20250929
600,2,20250930
601,1,20251003
606,1,20250927
606,1,20251011
606,1,20251012
606,1,20251013
606,1,20251014
606,2,20250921
606,2,20250922
606,2,20250923
606,2,20250924
606,2,20250925
607,2,20251003
607,2,20251006
607,2,20251007
608,1,20250922
61,1,20251009
61,2,20251011
61,2,20251012
613,1,20250929
613,1,20250930
614,1,20250926
614,1,20251001
614,1,20251002
614,1,20251008
614,1,20251009
614,2,20250929
614,2,20250930
615,1,20250926
616,1,20250926
616,1,20251003
616,2,20250920
616,2,20250921
617,1,20250925
617,1,20251004
617,1,20251005
618,2,20251011
618,2,20251012
619,1,20250914
619,1,20250915
619,1,20251004
619,1,20251005
619,1,20251006
62,1,20251013
62,1,20251014
621,1,20250914
621,1,20250920
621,1,20250929
621,1,20250930
623,1,20250914
624,1,20250920
624,1,20250923
624,1,20251013
625,2,20251003
625,2,20251008
626,2,20251004
626,2,20251005
627,2,20251003
628,1,20250915
628,1,20250919
628,1,20250920
628,1,20250921
63,1,20250926
63,1,20250927
63,1,20251006
63,2,20251005
635,1,20250915
635,1,20250916
635,1,20250917
635,1,20251002
636,1,20251006
638,2,20251004
64,2,20250929
64,2,20250930
64,2,20251001
64,2,20251002
641,1,20250929
641,1,20250930
641,2,20250924
642,1,20251002
642,1,20251013
642,1,20251014
642,2,20250922
642,2,20250923
642,2,20250924
643,2,20251003
644,1,20251012
645,2,20250926
645,2,20250927
645,2,20250928
645,2,20251008
648,2,20250921
649,1,20250914
649,1,20251011
649,1,20251012
649,2,20250922
649,2,20250929
649,2,20250930
649,2,20251001
649,2,20251002
649,2,20251003
65,2,20251002
65,2,20251007
651,1,20251002
651,1,20251014
653,2,20250917
653,2,20251002
654,2,20251012
654,2,20251013
655,1,20251010
656,1,20251004
656,1,20251011
656,2,20250926
656,2,20250928
657,2,20251003
659,1,20250917
659,1,20250918
659,1,20250919
659,1,20250924
659,1,20250925
659,1,20251006
659,1,20251007
66,2,20250921
66,2,20250922
66,2,20250923
660,1,20251005
662,1,20250928
662,1,20251004
663,1,20251011
663,1,20251012
664,1,20250919
664,1,20251010
664,1,20251011
664,1,20251012
664,2,20250922
664,2,20250923
664,2,20250924
664,2,20250925
665,1,20251005
665,2,20250924
665,2,20251003
666,1,20250927
666,1,20250928
666,1,20251013
666,1,20251014
670,1,20250930
670,1,20251001
670,1,20251002
673,1,20250926
673,2,20251007
673,2,20251008
673,2,20251009
673,2,20251012
674,1,20251005
674,1,20251012
675,1,20251010
675,1,20251011
676,1,20251006
676,1,20251013
676,2,20250927
676,2,20250928
676,2,20251003
677,1,20251004
677,1,20251011
677,2,20250929
677,2,20251001
677,2,20251010
679,1,20250920
679,1,20250923
679,1,20251004
679,1,20251013
68,1,20250929
680,2,20251003
683,1,20251001
684,1,20251013
684,1,20251014
685,1,20250920
685,1,20251011
685,2,20251005
686,1,20250920
686,2,20250922
686,2,20250923
689,1,20250914
689,1,20250923
689,1,20251013
689,1,20251014
69,1,20251009
69,2,20251003
69,2,20251006
69,2,20251007
69,2,20251008
690,2,20251003
694,1,20250928
694,1,20251013
694,1,20251014
695,1,20250914
695,1,20250927
696,1,20250914
696,2,20251003
699,1,20251007
699,1,20251009
699,1,20251014
7,2,20251004
7,2,20251005
70,2,20250929
70,2,20250930
70,2,20251001
70,2,20251002
70,2,20251003
700,1,20250915
700,1,20250919
700,1,20250920
701,2,20250928
701,2,20251003
703,2,20250926
703,2,20250927
703,2,20250928
704,2,20251003
704,2,20251004
704,2,20251005
706,1,20250915
706,1,20251006
706,1,20251008
706,2,20250916
706,2,20250923
706,2,20250925
706,2,20250926
706,2,20250928
708,1,20251003
709,1,20250927
710,1,20251010
710,1,20251011
710,1,20251012
711,1,20250920
711,1,20250921
711,2,20250923
712,1,20250920
712,1,20251003
712,1,20251011
713,1,20250929
714,1,20250927
715,2,20250922
715,2,20250923
715,2,20250924
715,2,20250925
715,2,20250926
715,2,20251004
716,1,20251010
719,2,20251003
72,1,20250920
72,1,20250921
72,1,20250925
72,1,20250930
720,1,20250914
720,1,20250918
720,1,20251002
720,1,20251010
720,1,20251012
720,2,20250922
720,2,20250923
720,2,20250924
721,1,20250920
721,2,20250928
722,1,20251003
723,1,20251002
723,2,20251010
725,2,20251003
726,1,20251014
727,1,20251004
727,1,20251011
727,2,20250921
727,2,20250922
727,2,20251005
727,2,20251006
728,1,20250926
731,1,20251004
731,1,20251005
731,1,20251011
731,1,20251012
732,1,20250920
732,1,20250921
732,2,20251003
733,1,20250927
733,1,20251011
733,2,20250921
733,2,20251005
733,2,20251006
735,1,20250914
735,1,20250915
735,1,20250916
735,1,20250917
735,1,20250918
735,1,20250926
735,1,20250927
735,1,20250928
735,1,20251001
735,1,20251002
738,1,20251003
739,1,20251009
74,1,20251004
741,1,20250915
741,1,20251013
742,1,20250920
742,1,20251011
742,1,20251012
742,2,20251003
742,2,20251006
743,1,20250914
743,1,20250915
743,1,20250916
743,1,20250917
743,1,20250918
743,1,20250922
743,1,20250924
743,1,20250925
743,1,20251003
743,1,20251004
744,1,20250924
744,2,20251005
747,2,20250920
747,2,20251003
748,1,20250914
748,1,20250921
749,1,20250920
749,1,20250925
749,1,20250926
75,1,20251003
754,1,20250925
754,1,20250926
754,1,20250927
754,1,20251002
754,1,20251004
754,1,20251005
754,1,20251006
754,1,20251007
754,1,20251008
756,2,20250926
756,2,20250927
756,2,20250928
757,1,20250929
757,1,20250930
757,1,20251001
757,1,20251002
758,1,20251008
758,1,20251011
758,2,20250930
759,2,20250922
759,2,20250923
759,2,20250924
759,2,20250925
76,1,20251011
76,2,20250925
76,2,20250930
76,2,20251003
76,2,20251005
760,1,20250917
760,1,20251010
761,1,20250919
761,1,20251010
762,1,20250926
762,1,20250927
762,1,20251013
762,1,20251014
762,2,20251005
764,1,20250920
766,1,20250930
766,1,20251002
766,1,20251004
766,1,20251005
766,1,20251010
766,1,20251011
766,1,20251012
766,1,20251013
766,1,20251014
767,1,20250920
767,1,20251011
767,2,20251005
770,1,20251013
770,1,20251014
771,1,20251013
771,1,20251014
771,2,20250922
771,2,20250923
771,2,20250924
771,2,20250925
771,2,20250926
777,1,20251010
779,1,20250924
780,1,20250924
780,1,20250925
780,1,20250926
780,1,20251006
780,1,20251007
781,1,20250919
783,1,20250923
784,2,20250930
784,2,20251001
784,2,20251002
784,2,20251003
784,2,20251004
786,1,20251004
786,2,20250928
787,1,20250925
787,1,20250926
787,1,20251009
787,2,20250927
787,2,20250929
787,2,20250930
787,2,20251001
788,2,20251006
788,2,20251007
789,1,20250918
789,1,20250919
789,1,20251009
789,1,20251010
789,2,20250930
79,1,20251001
79,2,20250929
79,2,20250930
79,2,20251010
79,2,20251011
790,2,20250922
790,2,20250923
790,2,20251003
791,2,20250927
791,2,20250928
792,1,20250919
792,2,20250922
792,2,20250923
792,2,20250924
792,2,20250925
794,1,20250917
794,1,20250918
794,1,20250919
794,1,20250924
794,1,20250925
794,1,20250927
794,1,20250928
794,1,20251006
794,1,20251007
796,1,20250922
798,1,20250919
798,1,20251010
798,2,20250927
798,2,20250928
801,1,20250915
801,1,20250916
801,1,20250917
801,1,20250918
802,1,20251010
805,2,20250927
805,2,20250928
808,2,20250920
808,2,20251003
809,1,20250914
809,1,20251004
81,1,20251005
81,1,20251006
81,1,20251007
811,1,20250926
811,2,20251006
811,2,20251007
815,2,20250928
82,1,20250919
82,2,20250922
82,2,20250923
82,2,20250924
82,2,20250925
820,1,20250918
820,1,20250919
820,1,20250920
820,1,20250930
820,1,20251010
820,1,20251011
820,1,20251012
820,2,20250917
820,2,20250928
823,1,20250919
823,1,20250920
823,1,20250928
823,1,20250930
823,1,20251003
823,1,20251004
823,1,20251014
823,2,20250924
823,2,20251002
823,2,20251006
827,2,20251005
829,1,20250924
829,1,20250925
829,1,20250926
829,1,20251006
829,1,20251007
829,1,20251012
831,1,20250926
832,2,20251004
834,2,20250915
834,2,20251001
834,2,20251002
